"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.5804878050234e-51,72,349,11.3995186246418,"Response to cadmium ion "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046686","OASA1 SAM1 MDH1 APX1 GLX1  GAPC-2 ATARCA APT1 ATS9 YchF1 ANNAT1 ALATS mMDH1 EIF4A-2 PBG1 MDAR5 cICDH TPX1 OPR1 ATGSTU19 HSP70-14 FBA3 ACO3 NAP1 ARF3 PAG1 LOS2 ATSFGH TRIP-1 ATPDIL2-1 CCT6A ATMS2 PRXIIF CCT7 TCTP1 CCT4 PAC1 POP2 PKP1 ATMDAR1 CTIMC CYP19-3 TUFA GPX6 IIL1 SHM4 GSH1 HSP90-7 IBI1 ASP5 CCoAOMT1 AGT2 HSP70-10 AtPPa6 CPN20 GS2 PGIC PKP2 GLT1"
6.36705218648274e-47,78,493,8.74232860040568,"Response to metal ion "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010038","OASA1 SAM1 MDH1 APX1 CSD1 GLX1  GAPC-2 PAB1 ATARCA APT1 ATS9 YchF1 ANNAT1 ALATS mMDH1 EIF4A-2 PBG1 MDAR5 cICDH TPX1 OPR1 ATGSTU19 HSP70-14 FBA3 ACO3 NAP1 ARF3 PAG1 LOS2 ATSFGH TRIP-1 ATPDIL2-1 CCT6A ATMS2 PRXIIF MSD1 CCT7 TCTP1 CCT4 PAC1 POP2 PKP1 ATMDAR1 CTIMC CYP19-3 TUFA GPX6 IIL1 SHM4 GSH1 HSP90-7 IBI1 PBA1 ASP5 CCoAOMT1 AGT2 HSP70-10 AtPPa6 CPN20 GS2 PGIC PKP2 GLT1"
6.79806970904907e-35,95,1101,4.76777475022707,"Cellular amide metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043603","PDH-E1 ALPHA EIF2 GAMMA  TWN2 ATARCA IAR4 RPL17A RPL9B ALATS EIF4A-2 LOS1 ATGSTU19 SPP RPS5A EIF2 MTHFR2 TRIP-1 RPL22B ACLB-1 FOLD2 POP2 CARA RPL26A EIF3E TUFA TIF3A1 HMGS SHM4 ATRLI2 IBI1 2 RPS23B EIF2 BETA THRRS TIF3B1 PDH2 HMG1 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 Y14 RPL27AC RPL14A RPL40B RPL11A RPL38A EIF3G1 RPL19B RPL36AB ATGR1 ATL5 ATBBC1 SRP9 RPL23AB emb1624 RPS27B RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C EIF(ISO)4E OMT1 eIFiso4G1 HAT5"
8.33117614317039e-34,90,1018,4.88510805500982,"Response to inorganic substance "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010035","CSD1 NDK1 OASA1 CPN20 MSD1 SAM1 MDH1 APX1 RBP45B GLX1  GAPC-2 PAB1 ATARCA APT1 ATS9 YchF1 ANNAT1 ALATS mMDH1 ALDH7B4 EIF4A-2 PBG1 MDAR5 cICDH TPX1 OPR1 ATGSTU19 HSP70-14 FBA3 ACO3 NIR1 NAP1 ARF3 PAG1 LOS2 CYT1 ATSFGH TRIP-1 ATPDIL2-1 CCT6A ATMS2 PRXIIF CCT7 TCTP1 CCT4 PAC1 POP2 PKP1 ATMDAR1 CTIMC CYP19-3 TUFA GPX6 IIL1 SHM4 GSH1 HSP90-7 IBI1 PBA1 ASP5 CCoAOMT1 AGT2 HSP70-10 AtPPa6 GS2 PGIC ATBI-1 PKP2 GLT1 CTL1 AVP1 CYS6 ARP1 NAA10"
4.11485252496408e-33,122,1906,3.53684784889822,"Small molecule metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044281","PDH-E1 ALPHA MDH1 GLX1  GAPC-2 TWN2 IAR4 APT1 EMB1144 ALATS NRS/ER cICDH ATGSR2 ENO1 NIA1 GAPCP1 PGK FBA3 ACO3 NAD-ME1 ALDH6B2 TIM ATPC PKT3 LOS2 ADK MTHFR2 ATPMM FUM1 PGD2 ATMS2 ACLB-1 FOLD2 PYD1 POP2 PKP1 CARA MUR1 ATPQ CTIMC HINT1 ATCYSC1 HMGS SHM4 ATARD2 OASA1 PGI1 AIM1 IBI1 SIR PAS2 ATP5 RGP5 PYR6 THRRS GS2 PGIC HOT5 KASI PDH2 PKP2 GLT1 ALDH12A1 BETA-UP HMG1 OPR1 NDK1 DHS1 G6PD2 SAM1 emb1075 DWF5 mMDH1 mtACP2 KCR1 VHA-A MOD1 NIR1 GDH2 CYT1 ATSFGH MTO1 FAD2 CYN SAHH2 AGK2 IIL1 ASP5 AGD2 ASP3 EMB1467 TRX2 GAE1 MOB1A CTL1 CYP73A5 GSH1 PGL3 UPM1 ATBI-1 CYTB5-B"
2.29433201291015e-32,119,1854,3.54663646170442,"Organonitrogen compound biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1901566","PDH-E1 ALPHA EIF2 GAMMA  TWN2 ATARCA IAR4 RPL17A APT1 RPL9B EMB1144 ALATS EIF4A-2 LOS1 ATGSR2 OST1B ATPC RPS5A EIF2 MTHFR2 ATPMM TRIP-1 ATMS2 RPL22B ACLB-1 POP2 CARA RPL26A ATPQ EIF3E ATCYSC1 TUFA TIF3A1 SHM4 OASA1 ATRLI2 RPN2 IBI1 RPS23B SIR PAS2 ATP5 EIF2 BETA PYR6 THRRS TIF3B1 GS2 UPM1 PDH2 GLT1 BETA-UP OST48 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 Y14 RPL27AC VHA-A RPL14A RPL40B RPL11A RPL38A MTO1 EIF3G1 RPL19B PYD1 RPL36AB ATL5 ATBBC1 SRP9 RPL23AB emb1624 RPS27B NDK1 IIL1 ATARD2 RPL27C EIF4E1 RPL32A RPL39A TIF3K1 AGD2 DHS1 RPS6B NCBP RPS21C RPS3C EIF(ISO)4E EMB1467 OMT1 eIFiso4G1 ADK HAT5"
4.02425576088182e-30,96,1301,4.07730668716372,"Organic acid metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006082","PDH-E1 ALPHA MDH1 GLX1  GAPC-2 TWN2 IAR4 EMB1144 ALATS cICDH ATGSR2 ENO1 NIA1 GAPCP1 PGK FBA3 ACO3 NAD-ME1 ALDH6B2 TIM PKT3 LOS2 MTHFR2 FUM1 PGD2 ATMS2 ACLB-1 FOLD2 POP2 PKP1 CARA CTIMC ATCYSC1 SHM4 ATARD2 OASA1 PGI1 AIM1 IBI1 SIR PAS2 THRRS GS2 PGIC KASI PDH2 PKP2 GLT1 ALDH12A1 BETA-UP OPR1 DHS1 emb1075 mMDH1 mtACP2 KCR1 MOD1 NIR1 GDH2 MTO1 FAD2 PYD1 CYN SAHH2 IIL1 ASP5 AGD2 ASP3 EMB1467 GAE1 MOB1A CTL1 ADK CYT1 ATPMM GSH1 PGL3 UPM1 ATBI-1 CYTB5-B"
7.46706293749455e-30,89,1130,4.35202123893805,"Carboxylic acid metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019752","PDH-E1 ALPHA MDH1 GLX1  GAPC-2 TWN2 IAR4 EMB1144 ALATS cICDH ATGSR2 ENO1 GAPCP1 PGK FBA3 ACO3 NAD-ME1 ALDH6B2 TIM PKT3 LOS2 MTHFR2 FUM1 PGD2 ATMS2 ACLB-1 FOLD2 POP2 PKP1 CARA CTIMC ATCYSC1 SHM4 ATARD2 OASA1 PGI1 AIM1 IBI1 SIR PAS2 THRRS GS2 PGIC KASI PDH2 PKP2 GLT1 ALDH12A1 BETA-UP OPR1 DHS1 emb1075 mMDH1 mtACP2 KCR1 MOD1 GDH2 MTO1 FAD2 PYD1 SAHH2 IIL1 ASP5 AGD2 ASP3 EMB1467 GAE1 MOB1A CTL1 ADK CYT1 ATPMM ATBI-1 CYTB5-B"
1.25160722262373e-29,81,941,4.75636131774708,"Peptide metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006518","EIF2 GAMMA  TWN2 ATARCA RPL17A RPL9B ALATS EIF4A-2 LOS1 ATGSTU19 SPP RPS5A EIF2 TRIP-1 RPL22B RPL26A EIF3E TUFA TIF3A1 ATRLI2 IBI1 2 RPS23B EIF2 BETA THRRS TIF3B1 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 Y14 RPL27AC RPL14A RPL40B RPL11A RPL38A EIF3G1 RPL19B RPL36AB ATGR1 ATL5 ATBBC1 SRP9 RPL23AB emb1624 RPS27B RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C EIF(ISO)4E eIFiso4G1 HAT5"
2.03577030622221e-29,81,949,4.7162655426765,"Amide biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043604","PDH-E1 ALPHA EIF2 GAMMA  TWN2 ATARCA IAR4 RPL17A RPL9B ALATS EIF4A-2 LOS1 RPS5A EIF2 TRIP-1 RPL22B ACLB-1 POP2 CARA RPL26A EIF3E TUFA TIF3A1 ATRLI2 IBI1 RPS23B EIF2 BETA THRRS TIF3B1 PDH2 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 Y14 RPL27AC RPL14A RPL40B RPL11A RPL38A EIF3G1 RPL19B RPL36AB ATL5 ATBBC1 SRP9 RPL23AB emb1624 RPS27B RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C EIF(ISO)4E OMT1 eIFiso4G1 HAT5"
5.51789926885613e-29,94,1298,4.00159013867488,"Oxoacid metabolic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043436","PDH-E1 ALPHA MDH1 GLX1  GAPC-2 TWN2 IAR4 EMB1144 ALATS cICDH ATGSR2 ENO1 NIA1 GAPCP1 PGK FBA3 ACO3 NAD-ME1 ALDH6B2 TIM PKT3 LOS2 MTHFR2 FUM1 PGD2 ATMS2 ACLB-1 FOLD2 POP2 PKP1 CARA CTIMC ATCYSC1 SHM4 ATARD2 OASA1 PGI1 AIM1 IBI1 SIR PAS2 THRRS GS2 PGIC KASI PDH2 PKP2 GLT1 ALDH12A1 BETA-UP OPR1 DHS1 emb1075 mMDH1 mtACP2 KCR1 MOD1 NIR1 GDH2 MTO1 FAD2 PYD1 SAHH2 IIL1 ASP5 AGD2 ASP3 EMB1467 GAE1 MOB1A CTL1 ADK CYT1 ATPMM GSH1 PGL3 UPM1 ATBI-1 CYTB5-B"
4.17742476532373e-26,73,863,4.67403012746234,"Peptide biosynthetic process "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043043","EIF2 GAMMA  TWN2 ATARCA RPL17A RPL9B ALATS EIF4A-2 LOS1 RPS5A EIF2 TRIP-1 RPL22B RPL26A EIF3E TUFA TIF3A1 ATRLI2 IBI1 RPS23B EIF2 BETA THRRS TIF3B1 GSH1 PAB2 MEE63 RPL23A RPS15AF RPL21A TIF3H1 PFL RPL34A ARP1 Y14 RPL27AC RPL14A RPL40B RPL11A RPL38A EIF3G1 RPL19B RPL36AB ATL5 ATBBC1 SRP9 RPL23AB emb1624 RPS27B RPL27C EIF4E1 RPL32A RPL39A TIF3K1 RPS6B NCBP RPS21C RPS3C EIF(ISO)4E eIFiso4G1 HAT5"
1.38553459284038e-25,62,627,5.46391068580542,"Response to salt stress "," http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009651","YchF1 SAM1  MDH1 APX1 CSD1 BTF3 COX6B IAR4 ANNAT1 ACT8 mMDH1 ALDH7B4 PBG1 cICDH ATGSR2 VHA-A ACO3 NAD-ME1 LOS2 ATPMM TRIP-1 FUM1 HAT5 PGD2 ATMS2 MSD1 CYN ATPQ CTIMC EIF3E GPX6 PBA1 PAB2 SIR HSP70-10 AtPPa6 CBSX3 RGP5 CBR2 RPN11 RPS3C GS2 ALDH12A1 GAMMA CAL2 CTL1 AVP1 CYT1 SAP18 POP2 ARP1 HSP90-7 CESA1 RPN10 MPT3 ATGH9A1 COB"
